id,date,activity,appCat.builtin,appCat.office,call,circumplex.arousal,circumplex.valence,mood,screen
AS14.01,2014-02-17,,0.0,0.0,2.0,,,,0.0
AS14.01,2014-02-18,,0.0,0.0,1.0,,,,0.0
AS14.01,2014-02-19,,0.0,0.0,7.0,,,,0.0
AS14.01,2014-02-20,,0.0,0.0,2.0,,,,0.0
AS14.01,2014-02-21,,0.0,0.0,0.0,,,,0.0
AS14.01,2014-02-22,,0.0,0.0,2.0,,,,0.0
AS14.01,2014-02-25,,0.0,0.0,3.0,,,,0.0
AS14.01,2014-02-26,,0.0,0.0,1.0,-0.25,0.75,6.25,0.0
AS14.01,2014-02-27,,0.0,0.0,0.0,0.0,0.3333333333333333,6.333333333333333,0.0
AS14.01,2014-02-28,,0.0,0.0,4.0,,,,0.0
AS14.01,2014-03-01,,0.0,0.0,0.0,,,,0.0
AS14.01,2014-03-03,,0.0,0.0,1.0,,,,0.0
AS14.01,2014-03-05,,0.0,0.0,1.0,,,,0.0
AS14.01,2014-03-06,,0.0,0.0,1.0,,,,0.0
AS14.01,2014-03-07,,0.0,0.0,5.0,,,,0.0
AS14.01,2014-03-10,,0.0,0.0,1.0,,,,0.0
AS14.01,2014-03-11,,0.0,0.0,3.0,,,,0.0
AS14.01,2014-03-12,,0.0,0.0,7.0,,,,0.0
AS14.01,2014-03-13,,0.0,0.0,4.0,,,,0.0
AS14.01,2014-03-14,,0.0,0.0,3.0,,,,0.0
AS14.01,2014-03-15,,0.0,0.0,0.0,,,,0.0
AS14.01,2014-03-16,,0.0,0.0,0.0,,,,0.0
AS14.01,2014-03-17,,0.0,0.0,0.0,,,,0.0
AS14.01,2014-03-18,,0.0,0.0,1.0,,,,0.0
AS14.01,2014-03-19,,0.0,0.0,1.0,,,,0.0
AS14.01,2014-03-20,0.08154761904761905,248.979,0.0,1.0,,,,2275.9440002441406
AS14.01,2014-03-21,0.13405010398938863,3139.218,172.20600000000002,6.0,0.2,0.2,6.2,17978.907000064843
AS14.01,2014-03-22,0.23688021923995814,731.429,0.0,3.0,0.6,0.5,6.4,6142.160999536513
AS14.01,2014-03-23,0.14274111580506366,1286.246,0.0,0.0,0.2,0.8,6.8,6773.832001447675
AS14.01,2014-03-24,0.07896105611559796,866.956,3.01,10.0,0.8,0.0,6.0,15047.351000547404
AS14.01,2014-03-25,0.09837411239050677,1032.768,0.0,0.0,0.5,0.5,6.75,21475.35499906539
AS14.01,2014-03-26,0.10130832167007592,1167.497,0.0,0.0,-0.2,0.6,6.6,16423.80100035667
AS14.01,2014-03-27,0.15951064096909748,1229.327,182.451,2.0,0.2,0.8,7.0,17442.14999938011
AS14.01,2014-03-28,0.09569802163712014,10062.595,0.0,5.0,-0.6,0.6,6.4,4923.48899960518
AS14.01,2014-03-29,0.06820281010186964,1952.63,0.0,4.0,0.2,1.0,8.0,8322.6219997406
AS14.01,2014-03-30,0.049092970521542,414.365,0.0,0.0,-0.5,0.75,7.5,4523.2140009403265
AS14.01,2014-03-31,0.07050548088338955,2961.4049999999997,0.0,6.0,0.0,0.6,7.4,11836.834000349041
AS14.01,2014-04-01,0.118443242712736,1385.517,92.388,1.0,0.2,0.0,6.0,17173.906002044678
AS14.01,2014-04-02,0.10191661063822348,3614.349,90.481,4.0,0.3333333333333333,0.6666666666666666,6.5,21358.510999917988
AS14.01,2014-04-03,0.04923847270844108,2321.464,0.0,4.0,-1.2,0.0,6.4,21401.835000753403
AS14.01,2014-04-04,0.12668931120732582,1957.829,0.0,2.0,0.2,0.4,6.2,12379.411000013357
AS14.01,2014-04-05,0.1190023022034455,15159.190000000002,0.0,0.0,-0.4,0.6,6.8,3340.4309999942784
AS14.01,2014-04-06,0.06440779944246815,4548.662,0.0,4.0,-0.75,0.5,6.5,7467.321999788283
