id,date,activity,appCat.builtin,appCat.office,call,circumplex.arousal,circumplex.valence,mood,screen
AS14.01,2014-02-26,0.09249788807582894,2082.6259555555557,76.117,1.0,-0.25,0.75,6.25,12088.324244403839
AS14.01,2014-02-27,0.09249788807582894,2082.6259555555557,76.117,3.15625,-0.2564393939393939,0.3333333333333333,6.333333333333333,12088.324244403839
AS14.01,2014-03-21,0.1340501039893886,3139.218,172.20600000000002,6.0,0.2,0.2,6.2,17978.907000064843
AS14.01,2014-03-22,0.2368802192399581,731.429,76.117,3.0,0.6,0.5,6.4,6142.160999536513
AS14.01,2014-03-23,0.1427411158050636,1286.246,76.117,3.15625,0.2,0.8,6.8,6773.832001447675
AS14.01,2014-03-24,0.0789610561155979,866.956,3.01,10.0,0.8,0.7490530303030305,6.0,15047.351000547404
AS14.01,2014-03-25,0.0983741123905067,1032.768,76.117,3.15625,0.5,0.5,6.75,21475.35499906539
AS14.01,2014-03-26,0.1013083216700759,1167.497,76.117,3.15625,-0.2,0.6,6.6,16423.80100035667
AS14.01,2014-03-27,0.1595106409690974,1229.327,182.451,2.0,0.2,0.8,7.0,17442.14999938011
AS14.01,2014-03-28,0.0956980216371201,10062.595,76.117,5.0,-0.6,0.6,6.4,4923.48899960518
AS14.01,2014-03-29,0.0682028101018696,1952.63,76.117,4.0,0.2,1.0,8.0,8322.6219997406
AS14.01,2014-03-30,0.049092970521542,414.365,76.117,3.15625,-0.5,0.75,7.5,4523.214000940327
AS14.01,2014-03-31,0.0705054808833895,2961.405,76.117,6.0,-0.2564393939393939,0.6,7.4,11836.83400034904
AS14.01,2014-04-01,0.118443242712736,1385.517,92.388,1.0,0.2,0.7490530303030305,6.0,17173.906002044678
AS14.01,2014-04-02,0.1019166106382234,3614.349,90.481,4.0,0.3333333333333333,0.6666666666666666,6.5,21358.510999917988
AS14.01,2014-04-03,0.049238472708441,2321.464,76.117,4.0,-1.2,0.7490530303030305,6.4,21401.835000753403
AS14.01,2014-04-04,0.1266893112073258,1957.829,76.117,2.0,0.2,0.4,6.2,12379.411000013357
AS14.01,2014-04-05,0.1190023022034455,15159.190000000002,76.117,3.15625,-0.4,0.6,6.8,3340.4309999942784
AS14.01,2014-04-06,0.0644077994424681,4548.662,76.117,4.0,-0.75,0.5,6.5,7467.321999788283
AS14.01,2014-04-07,0.0506706211743178,927.377,17.107,1.0,-0.6666666666666666,0.25,6.5,9846.38099980354
AS14.01,2014-04-08,0.0753270582613484,892.689,76.117,1.0,-0.4,0.3333333333333333,6.6,15101.132001876833
AS14.01,2014-04-09,0.1203841145323287,1638.617,76.117,4.0,-0.8,1.0,7.4,13558.28900098801
AS14.01,2014-04-10,0.078963105194891,715.355,23.195,7.0,-0.4,0.8,7.4,9296.09899926186
AS14.01,2014-04-11,0.0799862020730605,3369.031,76.117,3.15625,-1.2,0.8,7.0,10526.846000194551
AS14.01,2014-04-12,0.0722490614703181,302.446,76.117,3.15625,-0.75,0.75,7.25,11750.809000968928
AS14.01,2014-04-13,0.0140213289543707,447.415,76.117,3.15625,-1.25,1.0,8.0,2005.7509992122648
AS14.01,2014-04-14,0.0838873144698841,961.581,76.117,1.0,-1.2,0.6,7.2,17985.44799923897
AS14.01,2014-04-15,0.0901121527807252,1596.356,76.117,8.0,-0.2564393939393939,0.8,6.4,13585.222998380666
AS14.01,2014-04-16,0.1161103361271222,923.613,76.117,3.15625,0.75,0.5,7.2,12522.47499895096
AS14.01,2014-04-17,0.0569178566720968,552.201,76.117,2.0,-0.125,0.625,6.625,15018.48000073434
AS14.01,2014-04-18,0.094033006694976,1860.898,76.117,1.0,-0.8,0.8,6.8,13490.728999614706
AS14.01,2014-04-19,0.0994319117238402,946.19,76.117,1.0,-0.2,1.0,7.8,13293.2480006218
AS14.01,2014-04-20,0.0748162430431159,897.086,76.117,2.0,-0.25,0.75,7.25,8343.518000364307
AS14.01,2014-04-21,0.1020410589682471,3442.2319999999995,76.117,2.0,-0.25,1.0,7.6,3832.9909992218018
AS14.01,2014-04-22,0.091929551822292,2212.954,76.117,2.0,0.2,1.0,7.4,15490.269999265667
