id,date,mood_target,mood_hist_mean,activity_hist_mean,appCat.builtin_hist_mean,appCat.office_hist_mean,call_hist_mean,circumplex.arousal_hist_mean,circumplex.valence_hist_mean,screen_hist_mean,mood_type
AS14.01,2014-04-08,6.6,6.480000000000001,0.0820017013471996,4982.9044,3.4214,2.2,-0.5633333333333332,0.35,10887.076000070572,0
AS14.01,2014-04-26,7.6,7.480000000000001,0.0799840703510332,1813.9824,0.0,1.6,-0.09,0.96,13983.804199552538,1
AS14.01,2014-04-29,7.0,7.5,0.0848734139584918,1150.3436000000002,0.0,1.6,-0.345,0.92,13610.166199779513,1
AS14.01,2014-04-03,6.4,7.08,0.081632222971552,2065.6532,36.5738,3.0,0.0466666666666666,0.6033333333333333,12643.017400598526,0
AS14.01,2014-04-12,7.25,6.98,0.0810662202471892,1508.6138,8.0604,2.6,-0.6933333333333334,0.6366666666666667,11665.749400424957,1
AS14.01,2014-04-19,7.8,6.845000000000001,0.0882121333489608,1178.9298,0.0,2.4,-0.275,0.665,14520.470999383926,1
AS14.01,2014-03-26,6.6,6.4300000000000015,0.138201321508103,1411.3234,35.0432,3.8,0.4599999999999999,0.4,13483.521200132363,0
AS14.01,2014-04-28,7.6,7.5,0.0901354872775651,1114.1118,0.0,1.4,-0.145,0.96,14355.668199729922,1
AS14.01,2014-03-31,7.4,7.1,0.0947625529799409,2965.2828,36.4902,2.2,-0.18,0.75,10327.05520000458,1
AS14.01,2014-04-06,6.5,6.38,0.1030579878940343,4887.669800000001,36.5738,2.2,-0.1733333333333333,0.3333333333333333,15130.81880054474,0
AS14.01,2014-03-27,7.0,6.51,0.1316529650442404,1016.9792,0.602,2.6,0.38,0.48,13172.500000190732,1
AS14.01,2014-04-24,7.6,7.529999999999999,0.0828408909382521,1725.8608,0.0,1.6,-0.0599999999999999,0.95,11099.07339978218,1
AS14.01,2014-04-16,7.2,7.17,0.0680512119496717,1335.3658,0.0,1.8,-0.8800000000000001,0.79,11170.815399599076,1
AS14.01,2014-03-28,6.4,6.63,0.1161790493900682,1116.5588000000002,37.0922,2.4,0.3,0.54,15432.497800159452,0
AS14.01,2014-04-25,7.2,7.49,0.0731351062322909,1829.877,0.0,1.6,-0.1,0.95,12857.719399690632,1
AS14.01,2014-05-01,8.0,7.5,0.1036425451063697,1920.542,0.0,1.2,-0.355,0.91,9807.861599445345,1
AS14.01,2014-03-29,8.0,6.55,0.1067704305564796,2871.8286,37.0922,3.4,0.14,0.5,15062.429199790951,1
AS14.01,2014-04-30,7.8,7.38,0.0952444660255858,1915.072,0.0,1.4,-0.315,0.92,10767.528999567032,1
AS14.01,2014-04-18,6.8,7.084999999999999,0.0722097978008397,896.2332,0.0,2.2,-0.365,0.7050000000000001,12223.47539930344,0
AS14.01,2014-04-27,7.5,7.479999999999999,0.1024256128822308,1298.4398,0.0,1.8,-0.08,0.96,16313.609799575808,1
AS14.01,2014-04-05,6.8,6.5,0.0933586236300231,2448.1128,36.5738,3.4,-0.0933333333333333,0.3333333333333333,16830.09940061569,0
AS14.01,2014-04-17,6.625,7.210000000000001,0.075276038760484,846.2822,0.0,1.8,-0.49,0.7300000000000001,11569.941199350358,0
AS14.01,2014-04-13,8.0,7.13,0.0853819083063893,1383.6276,4.639,2.4,-0.71,0.7366666666666667,12046.635000658036,1
AS14.01,2014-04-15,6.4,7.37,0.0658214024325048,1159.1656,4.639,1.6,-0.96,0.79,10312.990599775314,0
AS14.01,2014-04-02,6.5,7.06,0.0803885051713314,3355.3024,18.4776,3.2,-0.1399999999999999,0.5900000000000001,9356.013000535964,0
AS14.01,2014-04-09,7.4,6.5200000000000005,0.0872194184577811,4697.1494,3.4214,1.6,-0.4033333333333333,0.4166666666666667,9626.935400295257,1
AS14.01,2014-04-23,7.6,7.37,0.0924503544504942,1871.872,0.0,1.6,-0.26,0.91,10890.151199817656,1
AS14.01,2014-05-03,8.0,7.6,0.0775782635106166,2023.6852,5.6196,2.0,-0.41,0.91,11692.43959941864,1
AS14.02,2014-04-24,7.0,5.466666666666667,0.1883990147714285,2.018,0.0,8.0,-0.6333333333333333,-0.1333333333333333,40.08040003776556,1
AS14.02,2014-03-21,7.5,7.0666666666666655,0.2332694894518181,1920.6898,0.0,7.6,0.2,0.49,6423.591600751877,1
AS14.02,2014-03-25,7.75,6.779999999999999,0.2801036782956776,1581.3096,0.0,11.6,-0.61,0.16,6080.184600687027,1
AS14.02,2014-04-19,5.666666666666667,6.983333333333334,0.2850888134022979,207.0756,0.0,10.2,0.0166666666666666,0.3333333333333333,724.9698001384736,0
AS14.02,2014-04-05,7.4,6.63,0.2574460428343827,1666.3022,0.0,5.0,-0.61,0.24,5084.676399946213,1
AS14.02,2014-04-09,7.25,6.2700000000000005,0.2325748742536003,1264.5774,0.0,6.4,-0.49,0.13,6163.388599729538,1
AS14.02,2014-03-26,7.2,6.88,0.2784014172248988,1787.1004,0.0,11.0,-0.76,0.16,6135.595400428772,1
AS14.02,2014-04-01,7.4,7.1,0.264235384903786,4539.121,0.0,7.8,-0.6300000000000001,0.5,4566.198598718644,1
AS14.02,2014-03-22,6.5,7.3,0.2463674882333722,1879.3412,0.0,8.8,0.05,0.64,7674.23640065193,0
AS14.02,2014-04-14,8.0,6.840000000000001,0.3201127461582925,1323.2494,0.0,5.4,-0.67,0.18,5049.076999855041,1
AS14.02,2014-03-23,6.25,7.25,0.3019625426098873,2019.525,0.0,13.0,-0.25,0.44,7160.195000982285,0
AS14.02,2014-04-23,5.5,5.666666666666667,0.2081034482597701,2.018,0.0,7.2,-0.6333333333333333,-0.2333333333333333,40.08040003776556,0
AS14.02,2014-03-24,6.4,6.859999999999999,0.3120050971655063,1677.5219999999997,0.0,11.6,-0.5700000000000001,0.2799999999999999,7163.406200838091,0
AS14.02,2014-04-22,5.666666666666667,5.833333333333334,0.2871205422768642,2.4194,0.0,6.2,-0.3333333333333333,-0.1999999999999999,45.71139993667607,0
AS14.02,2014-04-13,7.2,6.65,0.3145389300260454,1458.0224,0.0,7.2,-0.6,0.2,5429.933200216294,1
AS14.02,2014-04-17,6.5,7.023333333333333,0.2764202276444022,674.1904,0.0,9.0,-0.5366666666666667,0.2466666666666666,1883.4607999801635,0
AS14.02,2014-03-31,7.2,7.1,0.291751492652099,4649.210000000001,0.0,6.0,-0.71,0.5,4825.295399045945,1
AS14.02,2014-04-12,6.0,6.81,0.2661833302428568,1389.2784,0.0,6.4,-0.2,0.52,5971.474799633026,0
AS14.02,2014-04-08,6.25,6.17,0.2446858347112852,1281.4816000000003,0.0,4.8,-0.49,0.03,6710.418200016022,0
AS14.02,2014-04-15,7.25,6.99,0.3080855865837401,1199.8394,0.0,4.6,-0.42,0.3299999999999999,4452.200399923325,1
AS14.02,2014-03-27,7.25,6.82,0.2792665247260458,1688.3886000000002,0.0,10.0,-0.85,0.09,5118.351200771333,1
AS14.02,2014-04-10,7.25,6.44,0.2365627725407862,1325.644,0.0,7.8,-0.35,0.1399999999999999,6584.1997996807095,1
AS14.02,2014-03-28,6.8,6.969999999999999,0.2358275891438957,1755.7602,0.0,5.6,-0.65,0.29,4749.834999942779,0
